year,month,state,incidences
2020,6,Hessen,2.95418847425935
2020,7,Hessen,3.964221019526622
2020,8,Hessen,12.504514131138658
2020,9,Hessen,12.529486947109648
2020,10,Hessen,68.68822568502941
2020,11,Hessen,173.07445979362194
2020,12,Hessen,176.49699959558902
2021,1,Hessen,128.64604372920112
2021,2,Hessen,68.17637324433413
2021,3,Hessen,104.33803076613692
2021,4,Hessen,158.89287246298673
2021,5,Hessen,95.92635961366412
2021,6,Hessen,18.472282653618457
2021,7,Hessen,13.355161350944009
2021,8,Hessen,45.44505906097453
2021,9,Hessen,92.14431033307774
2021,10,Hessen,76.27077201723407
2021,11,Hessen,209.26128290572265
2021,12,Hessen,236.5547430661836
2022,1,Hessen,768.4234545637318
2022,2,Hessen,1428.0382404050697
2022,3,Hessen,1288.5230005809974
2022,4,Hessen,1109.541615746762
2022,5,Hessen,522.0580843751545
2022,6,Hessen,609.348632418308
2022,7,Hessen,974.5260520370522
2022,8,Hessen,414.6695096936556
2022,9,Hessen,364.7567591954081
2022,10,Hessen,783.2513629687242
2022,11,Hessen,245.4385746694568
2022,12,Hessen,209.1362309319034
2023,1,Hessen,174.94912123473097
2020,3,Rheinland-Pfalz,13.845134880482316
2020,4,Rheinland-Pfalz,19.332024022166568
2020,5,Rheinland-Pfalz,3.9991819390942114
2020,6,Rheinland-Pfalz,1.771182247915999
2020,7,Rheinland-Pfalz,2.6983284150046383
2020,8,Rheinland-Pfalz,8.230883590223756
2020,9,Rheinland-Pfalz,9.351063013745334
2020,10,Rheinland-Pfalz,44.75533132939571
2020,11,Rheinland-Pfalz,133.82897214203064
2020,12,Rheinland-Pfalz,151.34912296667505
2021,1,Rheinland-Pfalz,115.3470590400149
2021,2,Rheinland-Pfalz,57.84056889807915
2021,3,Rheinland-Pfalz,74.07402461417537
2021,4,Rheinland-Pfalz,128.98784889428956
2021,5,Rheinland-Pfalz,76.74564468387867
2021,6,Rheinland-Pfalz,15.71903951919951
2021,7,Rheinland-Pfalz,11.62284344349596
2021,8,Rheinland-Pfalz,42.23296377755295
2021,9,Rheinland-Pfalz,85.47861898111562
2021,10,Rheinland-Pfalz,68.55168145333619
2021,11,Rheinland-Pfalz,218.7588655504647
2021,12,Rheinland-Pfalz,253.88560273685124
2022,1,Rheinland-Pfalz,554.5524433481629
2022,2,Rheinland-Pfalz,1201.810759601669
2022,3,Rheinland-Pfalz,1638.958394957276
2022,4,Rheinland-Pfalz,1169.7635974968048
2022,5,Rheinland-Pfalz,434.236846542528
2022,6,Rheinland-Pfalz,487.0329085174628
2022,7,Rheinland-Pfalz,756.1289662727407
2022,8,Rheinland-Pfalz,341.5251101454124
2022,9,Rheinland-Pfalz,366.8896067236741
2022,10,Rheinland-Pfalz,767.5585669825856
2022,11,Rheinland-Pfalz,229.4224866278581
2022,12,Rheinland-Pfalz,179.68667733141368
2023,1,Rheinland-Pfalz,169.4224547832926
2020,3,Baden-Württemberg,24.69756895576737
2020,4,Baden-Württemberg,40.700635580003386
2020,5,Baden-Württemberg,6.346851576248768
2020,6,Baden-Württemberg,1.8604344001961293
2020,7,Baden-Württemberg,3.184444627666482
2020,8,Baden-Württemberg,9.291781428605422
2020,9,Baden-Württemberg,15.78927214017314
2020,10,Baden-Württemberg,57.3652385340116
2020,11,Baden-Württemberg,143.28041597503392
2020,12,Baden-Württemberg,179.02772555186127
2021,1,Baden-Württemberg,114.37149487452012
2021,2,Baden-Württemberg,54.91412667481795
2021,3,Baden-Württemberg,90.87381955099492
2021,4,Baden-Württemberg,163.7299129865632
2021,5,Baden-Württemberg,109.75489107584244
2021,6,Baden-Württemberg,20.53099776154594
2021,7,Baden-Württemberg,9.649313774800357
2021,8,Baden-Württemberg,40.98312382952739
2021,9,Baden-Württemberg,92.90785866787142
2021,10,Baden-Württemberg,119.12815392316703
2021,11,Baden-Württemberg,391.7669140873628
2021,12,Baden-Württemberg,392.431910719377
2022,1,Baden-Württemberg,659.6738559201247
2022,2,Baden-Württemberg,1645.7001492722193
2022,3,Baden-Württemberg,1877.2492459938585
2022,4,Baden-Württemberg,1013.27874940455
2022,5,Baden-Württemberg,402.29638183471
2022,6,Baden-Württemberg,364.7305384448926
2022,7,Baden-Württemberg,789.6567266701051
2022,8,Baden-Württemberg,305.2218553161299
2022,9,Baden-Württemberg,236.919084677062
2022,10,Baden-Württemberg,629.3587085841186
2022,11,Baden-Württemberg,175.49268851378167
2022,12,Baden-Württemberg,147.50543534707208
2023,1,Baden-Württemberg,95.32337863442812
2020,3,Bayern,24.048031394827024
2020,4,Bayern,49.38508081525049
2020,5,Bayern,8.396357443830253
2020,6,Bayern,2.471733109893314
2020,7,Bayern,4.189365704596978
2020,8,Bayern,10.765100654119523
2020,9,Bayern,18.98435725086108
2020,10,Bayern,56.40208680597327
2020,11,Bayern,179.76868615432556
2020,12,Bayern,197.0162261774136
2021,1,Bayern,137.81502714878135
2021,2,Bayern,67.90490170836014
2021,3,Bayern,101.5974428677731
2021,4,Bayern,165.50594373266912
2021,5,Bayern,87.78475186383014
2021,6,Bayern,16.9039629108997
2021,7,Bayern,10.176097330023206
2021,8,Bayern,37.16694209100229
2021,9,Bayern,90.43062366776913
2021,10,Bayern,148.055753272471
2021,11,Bayern,532.4028627986764
2021,12,Bayern,355.4617924498729
2022,1,Bayern,719.4372044351148
2022,2,Bayern,1866.2961838789035
2022,3,Bayern,2100.234073984776
